,customerID,age,age_group
2592,50745,46,MIDDLE-AGED
2595,58030,39,MIDDLE-AGED
2603,78350,36,MIDDLE-AGED
2609,58278,49,MIDDLE-AGED
2614,65552,45,MIDDLE-AGED
2618,50395,38,MIDDLE-AGED
2625,58238,33,ADULT
2644,60900,43,MIDDLE-AGED
2645,54233,31,ADULT
2650,73308,29,ADULT
2652,64124,31,ADULT
2655,54643,39,MIDDLE-AGED
2658,71631,29,ADULT
2663,60115,47,MIDDLE-AGED
2665,56998,36,MIDDLE-AGED
2671,78884,52,SENIOR
2681,70215,34,ADULT
2694,59891,34,ADULT
2697,55223,27,ADULT
2707,57609,40,MIDDLE-AGED
2710,70619,26,ADULT
2711,58558,40,MIDDLE-AGED
2715,56102,39,MIDDLE-AGED
2723,64547,28,ADULT
2725,59085,25,ADULT
2735,59666,46,MIDDLE-AGED
2742,54253,24,ADULT
2764,60535,31,ADULT
2767,68131,50,MIDDLE-AGED
2773,75639,50,MIDDLE-AGED
2776,72417,39,MIDDLE-AGED
2778,58055,36,MIDDLE-AGED
2783,157870,49,MIDDLE-AGED
2789,75643,63,SENIOR
2794,51637,42,MIDDLE-AGED
2799,59641,31,ADULT
2807,58528,64,SENIOR
2815,57345,31,ADULT
2819,78686,30,ADULT
2821,57506,27,ADULT
2826,52240,52,SENIOR
2827,78609,35,ADULT
2828,154914,41,MIDDLE-AGED
2829,72557,47,MIDDLE-AGED
2834,156630,37,MIDDLE-AGED
2839,156304,50,MIDDLE-AGED
2842,63623,15,YOUTH
2844,155058,51,SENIOR
2848,74593,40,MIDDLE-AGED
2852,50098,32,ADULT
2853,54611,37,MIDDLE-AGED
2855,61146,51,SENIOR
2858,61668,50,MIDDLE-AGED
2866,56217,29,ADULT
2874,57048,41,MIDDLE-AGED
2878,60890,33,ADULT
2879,60271,36,MIDDLE-AGED
2884,59799,32,ADULT
2896,56766,38,MIDDLE-AGED
2899,56441,40,MIDDLE-AGED
2909,59651,31,ADULT
2912,158874,35,ADULT
2917,58655,46,MIDDLE-AGED
2920,77040,49,MIDDLE-AGED
2922,54144,40,MIDDLE-AGED
2926,65093,56,SENIOR
2929,157453,52,SENIOR
2935,61806,42,MIDDLE-AGED
2941,65624,42,MIDDLE-AGED
2943,63626,56,SENIOR
2946,79400,27,ADULT
2948,66273,22,ADULT
2951,64085,25,ADULT
2952,61545,49,MIDDLE-AGED
2959,73704,35,ADULT
2960,64319,52,SENIOR
2970,69318,36,MIDDLE-AGED
2973,52170,31,ADULT
2979,67952,49,MIDDLE-AGED
2986,76822,41,MIDDLE-AGED
2993,69147,41,MIDDLE-AGED
2998,154637,33,ADULT
3000,56107,37,MIDDLE-AGED
3002,76778,52,SENIOR
3019,68151,24,ADULT
3026,53608,28,ADULT
3032,58716,34,ADULT
3034,157454,52,SENIOR
3036,53011,38,MIDDLE-AGED
3043,58609,38,MIDDLE-AGED
3049,56048,38,MIDDLE-AGED
3050,74015,46,MIDDLE-AGED
3054,73122,32,ADULT
3056,77124,21,ADULT
3060,69883,33,ADULT
3071,79402,24,ADULT
3072,62361,30,ADULT
3076,50124,20,ADULT
3087,69916,33,ADULT
3093,61510,39,MIDDLE-AGED
3095,78137,32,ADULT
3097,54301,38,MIDDLE-AGED
3102,58048,43,MIDDLE-AGED
3103,64384,37,MIDDLE-AGED
3105,51465,51,SENIOR
3108,51394,41,MIDDLE-AGED
3112,75115,37,MIDDLE-AGED
3117,74405,33,ADULT
3122,51464,52,SENIOR
3124,76147,52,SENIOR
3128,155311,31,ADULT
3134,58874,28,ADULT
3142,55816,43,MIDDLE-AGED
3153,155241,42,MIDDLE-AGED
3158,60324,41,MIDDLE-AGED
3160,56082,52,SENIOR
3161,66107,33,ADULT
3174,78252,40,MIDDLE-AGED
3177,70958,41,MIDDLE-AGED
3181,60061,16,YOUTH
3184,156925,25,ADULT
3191,54566,44,MIDDLE-AGED
3192,54502,43,MIDDLE-AGED
3195,78819,42,MIDDLE-AGED
3199,65170,35,ADULT
3204,68865,51,SENIOR
3213,54270,63,SENIOR
3216,58813,41,MIDDLE-AGED
3218,69280,47,MIDDLE-AGED
3220,53166,39,MIDDLE-AGED
3223,74248,44,MIDDLE-AGED
3227,50593,39,MIDDLE-AGED
3230,56857,29,ADULT
3237,56088,55,SENIOR
3241,62676,49,MIDDLE-AGED
3245,67817,59,SENIOR
3247,77096,10,YOUTH
3252,67739,57,SENIOR
3260,59965,41,MIDDLE-AGED
3265,54166,41,MIDDLE-AGED
3274,70896,33,ADULT
3280,56260,36,MIDDLE-AGED
3285,68601,62,SENIOR
3292,59729,50,MIDDLE-AGED
3297,65746,55,SENIOR
3301,65519,38,MIDDLE-AGED
3302,154560,56,SENIOR
3309,70494,54,SENIOR
3320,65087,44,MIDDLE-AGED
3328,71657,48,MIDDLE-AGED
3334,60605,43,MIDDLE-AGED
3345,58676,61,SENIOR
3356,71893,33,ADULT
3365,155677,56,SENIOR
3380,79409,45,MIDDLE-AGED
3382,52833,40,MIDDLE-AGED
3399,77141,35,ADULT
3404,63154,41,MIDDLE-AGED
3410,157886,44,MIDDLE-AGED
3428,65444,43,MIDDLE-AGED
3434,61012,38,MIDDLE-AGED
3436,155820,24,ADULT
3440,59778,36,MIDDLE-AGED
3441,59529,40,MIDDLE-AGED
3445,154919,39,MIDDLE-AGED
3448,156674,61,SENIOR
3455,50585,40,MIDDLE-AGED
3462,77198,28,ADULT
3466,58554,49,MIDDLE-AGED
3478,72930,49,MIDDLE-AGED
3482,53501,49,MIDDLE-AGED
3485,58422,52,SENIOR
3492,52723,52,SENIOR
3501,74592,40,MIDDLE-AGED
3504,155338,38,MIDDLE-AGED
3506,63750,26,ADULT
3509,61911,34,ADULT
3517,157890,37,MIDDLE-AGED
3523,52935,46,MIDDLE-AGED
3526,78448,65,SENIOR
3529,154800,60,SENIOR
3531,57814,31,ADULT
3538,60948,34,ADULT
3543,58037,34,ADULT
3546,60957,37,MIDDLE-AGED
3550,75352,24,ADULT
3556,156316,34,ADULT
3563,51032,52,SENIOR
3565,64351,31,ADULT
3567,63704,55,SENIOR
3578,58058,45,MIDDLE-AGED
3581,67804,39,MIDDLE-AGED
3584,57845,42,MIDDLE-AGED
3590,51585,30,ADULT
3593,57409,51,SENIOR
3606,59571,52,SENIOR
3609,59981,37,MIDDLE-AGED
3623,54467,35,ADULT
3627,154609,35,ADULT
3629,73396,29,ADULT
3634,79877,44,MIDDLE-AGED
3636,64924,46,MIDDLE-AGED
3645,52900,47,MIDDLE-AGED
3654,57933,33,ADULT
3660,60237,57,SENIOR
3671,50210,41,MIDDLE-AGED
3682,65408,32,ADULT
3684,54631,28,ADULT
3690,72270,22,ADULT
3695,64247,37,MIDDLE-AGED
3699,50977,39,MIDDLE-AGED
3702,68745,38,MIDDLE-AGED
3706,58616,39,MIDDLE-AGED
3710,69394,19,ADULT
3718,72205,49,MIDDLE-AGED
3727,61112,41,MIDDLE-AGED
3736,56617,41,MIDDLE-AGED
3741,56405,25,ADULT
3744,63560,52,SENIOR
3750,61373,28,ADULT
3757,55926,44,MIDDLE-AGED
3766,58207,34,ADULT
3767,58612,39,MIDDLE-AGED
3769,54221,45,MIDDLE-AGED
3775,67716,44,MIDDLE-AGED
3778,58661,43,MIDDLE-AGED
3781,154536,35,ADULT
3787,65426,36,MIDDLE-AGED
3790,74674,55,SENIOR
3794,62254,40,MIDDLE-AGED
3797,58891,28,ADULT
3804,62562,46,MIDDLE-AGED
3811,61035,38,MIDDLE-AGED
3814,65050,43,MIDDLE-AGED
3819,60983,40,MIDDLE-AGED
3821,60813,37,MIDDLE-AGED
3824,154846,51,SENIOR
3830,75305,26,ADULT
3833,71289,34,ADULT
3839,76627,22,ADULT
3842,61465,28,ADULT
3845,58439,45,MIDDLE-AGED
3850,75049,33,ADULT
3854,58581,45,MIDDLE-AGED
3861,56289,49,MIDDLE-AGED
3866,76725,38,MIDDLE-AGED
3872,58072,46,MIDDLE-AGED
3877,52613,46,MIDDLE-AGED
